"","lonL","lonR","latB","latT","smaller","avgAAUs","factor","sideSquares","avgAAUs.1"
"127",-3.69653712488295,-3.68473474985953,40.4563794065108,40.4608809198664,FALSE,5.4190054775186e-05,48,4,12.7
"128",-3.69653712488295,-3.68473474985953,40.4518778931552,40.4563794065108,FALSE,5.42631167624118e-05,48,4,12.325
"129",-3.69653712488295,-3.68473474985953,40.4473763797996,40.4518778931552,FALSE,5.4724941219264e-05,96,4,12.575
"130",-3.69653712488295,-3.68473474985953,40.442874866444,40.4473763797996,FALSE,5.50977124056039e-05,48,4,12.25
"131",-3.69653712488295,-3.68473474985953,40.4383733530884,40.442874866444,FALSE,5.51301517497335e-05,48,4,12.4
"132",-3.69653712488295,-3.68473474985953,40.4338718397328,40.4383733530884,FALSE,5.52005826806337e-05,96,4,12.675
"133",-3.69653712488295,-3.68473474985953,40.4293703263772,40.4338718397328,FALSE,5.5229580551938e-05,48,4,12.8
"134",-3.69653712488295,-3.68473474985953,40.4248688130216,40.4293703263772,FALSE,5.54406333938331e-05,96,4,12.45
"135",-3.69653712488295,-3.68473474985953,40.420367299666,40.4248688130216,FALSE,5.51815567205525e-05,48,4,12.45
"136",-3.69653712488295,-3.68473474985953,40.4158657863104,40.420367299666,FALSE,5.46988464401934e-05,48,4,12.625
"137",-3.69653712488295,-3.68473474985953,40.4113642729548,40.4158657863104,FALSE,5.50620238495889e-05,48,4,12.8
"138",-3.69653712488295,-3.68473474985953,40.4068627595992,40.4113642729548,FALSE,5.57872069305461e-05,48,4,12.45
"139",-3.69653712488295,-3.68473474985953,40.4023612462436,40.4068627595992,FALSE,5.54781610175452e-05,48,4,12.9
"140",-3.69653712488295,-3.68473474985953,40.397859732888,40.4023612462436,FALSE,5.49148727188319e-05,48,4,12.35
"141",-3.69653712488295,-3.68473474985953,40.3933582195324,40.397859732888,FALSE,5.46124053611748e-05,48,4,12.65
"142",-3.69653712488295,-3.68473474985953,40.3888567061768,40.3933582195324,FALSE,5.45831451956737e-05,96,4,12.9
"143",-3.69653712488295,-3.68473474985953,40.3843551928212,40.3888567061768,FALSE,5.4106085679823e-05,96,4,12.625
"144",-3.69653712488295,-3.68473474985953,40.38171,40.3843551928212,TRUE,3.13774014092296e-05,96,4,Inf
"145",-3.68473474985953,-3.67293237483612,40.4833884866444,40.48789,FALSE,5.31644323127131e-05,48,4,12.9
"146",-3.68473474985953,-3.67293237483612,40.4788869732888,40.4833884866444,FALSE,5.32715919082024e-05,48,4,12.2
"147",-3.68473474985953,-3.67293237483612,40.4743854599332,40.4788869732888,FALSE,5.3491755231882e-05,48,4,12.7
"148",-3.68473474985953,-3.67293237483612,40.4698839465776,40.4743854599332,FALSE,5.38632817189381e-05,48,4,12.45
"149",-3.68473474985953,-3.67293237483612,40.465382433222,40.4698839465776,FALSE,5.40545175311966e-05,48,4,12.525
"150",-3.68473474985953,-3.67293237483612,40.4608809198664,40.465382433222,FALSE,5.41340840540794e-05,48,4,12.2
"151",-3.68473474985953,-3.67293237483612,40.4563794065108,40.4608809198664,FALSE,5.41352892526508e-05,48,4,12.525
"152",-3.68473474985953,-3.67293237483612,40.4518778931552,40.4563794065108,FALSE,5.40768658141386e-05,96,4,13
"153",-3.68473474985953,-3.67293237483612,40.4473763797996,40.4518778931552,FALSE,5.39586634799472e-05,48,4,12.6
"154",-3.68473474985953,-3.67293237483612,40.442874866444,40.4473763797996,FALSE,5.44813327944156e-05,48,4,12.4
"155",-3.68473474985953,-3.67293237483612,40.4383733530884,40.442874866444,FALSE,5.48326568029076e-05,48,4,12.325
"156",-3.68473474985953,-3.67293237483612,40.4338718397328,40.4383733530884,FALSE,5.48848523534116e-05,48,4,12.375
"157",-3.68473474985953,-3.67293237483612,40.4293703263772,40.4338718397328,FALSE,5.48105383456141e-05,48,4,12.45
"158",-3.68473474985953,-3.67293237483612,40.4248688130216,40.4293703263772,FALSE,5.45721017699878e-05,48,4,12.775
"159",-3.68473474985953,-3.67293237483612,40.420367299666,40.4248688130216,FALSE,5.4911994266539e-05,48,4,12.425
"160",-3.68473474985953,-3.67293237483612,40.4158657863104,40.420367299666,FALSE,5.52255765607825e-05,48,4,12.975
"161",-3.68473474985953,-3.67293237483612,40.4113642729548,40.4158657863104,FALSE,5.44625792139194e-05,48,4,12.675
"162",-3.68473474985953,-3.67293237483612,40.4068627595992,40.4113642729548,FALSE,5.4714702006333e-05,48,4,12.675
"163",-3.68473474985953,-3.67293237483612,40.4023612462436,40.4068627595992,FALSE,5.51830398622819e-05,48,4,12.55
