radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,214,3,1158,7238184,0,-3.7456512451172,40.268325805664,1000,1,1,1458824494,1439550010,0
UMTS,214,3,1156,7235767,0,-3.755998,40.271109,1000,9,1,1458824488,1506317619,0
UMTS,214,3,1156,7241611,0,-3.765072,40.268915,2462,7,1,1458824490,1487291771,0
UMTS,214,3,1156,7493310,0,-3.738647,40.257065,1000,10,1,1458824492,1490790414,0
UMTS,214,3,1158,7228371,0,-3.7497711181641,40.276565551758,1000,1,1,1458824494,1430785127,0
UMTS,214,3,1158,7492928,0,-3.7648773193359,40.255966186523,1000,1,1,1458824496,1436971471,0
UMTS,214,3,1158,7493276,0,-3.7607574462891,40.262832641602,1000,1,1,1458824496,1440708210,0
UMTS,214,3,1158,7493274,0,-3.7456512451172,40.26969909668,1000,1,1,1458824496,1439550010,0
UMTS,214,3,1156,7237466,0,-3.7525177001953,40.273818969727,1000,15,1,1458824489,1490987179,0
UMTS,214,3,1156,7243791,0,-3.748209,40.257448,2582,10,1,1458824490,1506370142,0
UMTS,214,3,1156,7243792,0,-3.753067,40.276016,1000,10,1,1458824490,1489894745,0
UMTS,214,3,1156,7493274,0,-3.745651,40.272675,1000,6,1,1458824492,1483201459,0
UMTS,214,3,1156,7493275,0,-3.738098,40.257511,1000,8,1,1458824492,1492350109,0
UMTS,214,3,1156,7503690,0,-3.763538,40.257441,1514,6,1,1458824493,1506370053,0
LTE,214,3,1156,7503974,0,-3.763826,40.263579,7016,91,1,1458824493,1494596463,0
UMTS,214,3,1158,7499733,0,-3.7552642822266,40.26969909668,1000,1,1,1458824497,1441432969,0
UMTS,214,3,1158,7499731,0,-3.7470245361328,40.272445678711,1000,1,1,1458824497,1439863088,0
UMTS,214,3,1158,7503973,0,-3.7538909912109,40.272445678711,1000,1,1,1458824498,1436748508,0
UMTS,214,3,1158,7503516,0,-3.7648773193359,40.254592895508,1000,1,1,1458824498,1428118975,0
UMTS,214,3,1158,7503690,0,-3.7566375732422,40.264205932617,1000,1,1,1458824498,1430108889,0
UMTS,214,3,1158,7503514,0,-3.7635040283203,40.254592895508,1000,1,1,1458824498,1426257581,0
GSM,214,4,21605,20948,0,-3.7538909912109,40.272445678711,1000,1,1,1458845191,1449154941,0
GSM,214,4,21605,23017,0,-3.764191,40.255966,1000,2,1,1458845192,1461982357,0
GSM,214,7,2822,5463,0,-3.7621307373047,40.272445678711,1000,1,1,1458867686,1458030863,0
GSM,214,7,2822,5283,0,-3.7621307373047,40.268325805664,1000,1,1,1458867686,1458030863,0
GSM,214,7,2822,6416,0,-3.756294,40.269012,1000,4,1,1458867686,1473940913,0
GSM,214,7,2822,6432,0,-3.755267,40.269528,3392,8,1,1458867686,1481806514,0
GSM,214,7,2822,6433,0,-3.751377,40.274964,3566,6,1,1458867686,1488538916,0
GSM,214,3,1156,4831,0,-3.755951,40.266609,1000,12,1,1464998933,1490756828,0
GSM,214,7,2837,5286,0,-3.75856,40.264755,1000,5,1,1467404090,1477867174,0
GSM,214,7,2837,5194,0,-3.753067,40.271622,1000,5,1,1467404089,1484923616,0
GSM,214,7,2837,5195,0,-3.754234,40.270042,1000,4,1,1467404089,1484923616,0
GSM,214,7,2837,5011,0,-3.765074,40.256751,1000,7,1,1467404089,1490757261,0
GSM,214,7,2837,5191,0,-3.757324,40.266609,1000,4,1,1467404089,1490757261,0
GSM,214,7,2838,5706,0,-3.754265,40.275816,1000,22,1,1467404090,1492355451,0
GSM,214,7,2837,5192,0,-3.753033,40.273304,1000,8,1,1467404089,1492355454,0
GSM,214,7,2837,5193,0,-3.757897,40.268784,1000,12,1,1467404089,1492355454,0
GSM,214,7,2837,5014,0,-3.751733,40.273819,1000,7,1,1467404089,1484923616,0
GSM,214,7,2837,5196,0,-3.764648,40.258255,1000,6,1,1467404089,1487416409,0
LTE,214,1,273,72910849,0,-3.761973,40.259011,2491,43,1,1458912481,1505105955,0
LTE,214,1,273,71737601,0,-3.758011,40.272042,1000,17,1,1458912480,1492356193,0
LTE,214,1,273,71936515,0,-3.766571,40.261654,1521,12,1,1458912480,1505669767,0
LTE,214,1,273,72194050,0,-3.7497711181641,40.26008605957,1000,1,1,1458912481,1453374546,0
LTE,214,1,273,73245955,0,-3.756982,40.266787,1000,54,1,1458912481,1505669744,0
LTE,214,1,273,72194049,0,-3.7483978271484,40.265579223633,1000,1,1,1458912481,1457695872,0
LTE,214,1,273,73450242,0,-3.7497711181641,40.257339477539,1000,1,1,1458912481,1453374546,0
LTE,214,1,273,71936514,0,-3.758994,40.263994,1000,42,1,1458912480,1506495134,0
