radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,214,3,1008,40061,0,-3.6865997314453,40.438613891602,1000,1,1,1343354761,1248320146,0
GSM,214,3,1003,1459,0,-3.6866,40.437927,1000,2,1,1343354761,1248320166,0
GSM,214,3,1003,20345,0,-3.6866,40.435,1000,19,1,1343354761,1248320366,0
GSM,214,3,1003,1622,0,-3.6866,40.434666,1000,24,1,1343354761,1248320406,0
GSM,214,3,1003,187,0,-3.68684,40.4324,1000,40,1,1343354761,1248320626,0
GSM,214,3,1003,159,0,-3.6866,40.434837,1000,4,1,1343354761,1248320376,0
GSM,214,3,1003,20041,0,-3.6866,40.435318,1000,5,1,1343354766,1248320256,0
GSM,214,3,1003,3761,0,-3.687316,40.428762,1000,23,1,1343354766,1248321142,0
GSM,214,3,1003,1210,0,-3.686796,40.433709,1000,14,1,1343354767,1248320426,0
GSM,214,3,1003,40094,0,-3.686992,40.430914,1000,28,1,1343354772,1248320606,0
GSM,214,3,1003,1214,0,-3.6866,40.433807,1000,2,1,1343354772,1248320386,0
GSM,214,3,1003,1211,0,-3.6865997314453,40.434494018555,1000,2,1,1343354772,1248320356,0
GSM,214,3,1003,40093,0,-3.687515,40.427882,1000,27,1,1343354777,1248320756,0
GSM,214,3,1003,32281,0,-3.682709,40.418167,1695,36,1,1343354777,1248320396,0
GSM,214,3,1003,186,0,-3.687259,40.429111,1000,25,1,1343354777,1248320636,0
GSM,214,3,1003,185,0,-3.686943,40.430288,1000,16,1,1343354777,1248320556,0
GSM,214,3,1003,188,0,-3.687599,40.427503,1000,22,1,1343354777,1248320726,0
GSM,214,7,2836,2021,0,-3.705556,40.419878,1000,56,1,1343366706,1487877821,0
GSM,214,7,2836,874,0,-3.705791,40.419546,1000,78,1,1343366706,1489071311,0
GSM,214,7,2836,2082,0,-3.7058258056641,40.419387817383,1000,2,1,1343366707,1255015607,0
GSM,214,7,2816,5081,0,-3.7058258056641,40.419387817383,1000,1,1,1343366707,1255015607,0
GSM,214,7,2816,2082,0,-3.703768,40.422207,1242,49,1,1343366707,1493856433,0
GSM,214,7,2836,5081,0,-3.7058258056641,40.419387817383,1000,2,1,1343366707,1255015627,0
GSM,214,7,2836,6931,0,-3.704653,40.417278,1000,41,1,1343366707,1255104944,0
GSM,214,7,2816,1,0,-3.701631,40.419933,1000,73,1,1343386074,1490205429,0
GSM,214,7,2816,351,0,-3.700642,40.42153,1000,191,1,1343386074,1490796723,0
GSM,214,7,2816,354,0,-3.700738,40.421216,1000,139,1,1343386074,1423947076,0
GSM,214,7,2816,3821,0,-3.700538,40.42058,1000,167,1,1343386074,1490205429,0
GSM,214,7,2816,3824,0,-3.699652,40.421215,1000,121,1,1343386074,1487877821,0
GSM,214,7,2816,6902,0,-3.699276,40.421777,1000,165,1,1343386074,1492098116,0
GSM,214,7,2816,3823,0,-3.701149,40.419091,1000,74,1,1343386074,1490205429,0
GSM,214,7,2816,353,0,-3.701812,40.419916,1000,26,1,1343386075,1481167629,0
GSM,214,7,2816,343,0,-3.694981,40.420236,1000,68,1,1343386075,1491183885,0
GSM,214,7,2816,3361,0,-3.701706,40.420303,1000,9,1,1343386080,1456633800,0
GSM,214,7,2816,2122,0,-3.700998,40.421427,1000,33,1,1343386080,1255106136,0
GSM,214,7,2816,2125,0,-3.698731,40.424423,1000,6,1,1343386087,1255105594,0
GSM,214,7,2816,2133,0,-3.696792,40.420119,1000,109,1,1343386087,1492266790,0
GSM,214,7,2816,954,0,-3.698784,40.42079,1000,47,1,1343386087,1492266790,0
GSM,214,7,2816,43,0,-3.693164,40.418713,1096,59,1,1343386090,1451928182,0
GSM,214,7,2816,2471,0,-3.700195,40.421762,1000,70,1,1343386090,1452709028,0
GSM,214,7,2836,285,0,-3.698987,40.405309,2915,147,1,1343392594,1491110761,0
GSM,214,7,2836,2891,0,-3.703875,40.412302,1000,69,1,1343392594,1483357723,0
GSM,214,7,2836,284,0,-3.704383,40.412852,1000,79,1,1343392594,1486501472,0
GSM,214,7,2836,286,0,-3.706845,40.411856,1000,159,1,1343392594,1491310483,0
GSM,214,7,2836,1186,0,-3.70062,40.411372,1000,43,1,1343392594,1487180347,0
GSM,214,7,2836,1184,0,-3.700311,40.41455,1000,65,1,1343392594,1421957478,0
GSM,214,7,2836,1181,0,-3.699107,40.413142,1000,241,1,1343392594,1491621820,0
GSM,214,7,2836,1183,0,-3.700245,40.412046,1000,78,1,1343392594,1488213962,0
GSM,214,7,2836,1694,0,-3.704951,40.410636,1000,102,1,1343392626,1488263455,0
GSM,214,7,2836,875,0,-3.702683,40.417009,1000,142,1,1343405491,1487628557,0
GSM,214,7,2836,1206,0,-3.701539,40.415045,1000,148,1,1343405491,1490335042,0
GSM,214,7,2816,721,0,-3.7030792236328,40.418014526367,1000,8,1,1343405491,1450245360,0
GSM,214,7,2816,6856,0,-3.696036,40.42023,1000,93,1,1343405491,1491183885,0
GSM,214,7,2836,6856,0,-3.705139,40.415268,1000,2,1,1343405497,1384246478,0
GSM,214,7,2816,3826,0,-3.700957,40.418978,1000,77,1,1343405503,1487877821,0
GSM,214,7,2816,1191,0,-3.7017059326172,40.419387817383,1000,3,1,1343405503,1255105334,0
GSM,214,7,2816,872,0,-3.7017059326172,40.419387817383,1000,4,1,1343405503,1255105374,0
GSM,214,7,2836,1205,0,-3.700519,40.414801,1000,103,1,1343413991,1491905358,0
GSM,214,7,2836,3642,0,-3.697357,40.412885,2469,102,1,1343413991,1491905358,0
GSM,214,7,2836,3645,0,-3.699875,40.415634,1000,15,1,1343413991,1489069425,0
GSM,214,7,2836,241,0,-3.699253,40.416735,1000,103,1,1343421040,1491905358,0
GSM,214,7,2836,242,0,-3.694275,40.415362,1000,73,1,1343421040,1491905353,0
GSM,214,7,2836,3644,0,-3.700569,40.416641,1000,87,1,1343421040,1489114939,0
GSM,214,7,2836,6736,0,-3.697842,40.416162,1000,43,1,1343421040,1487789863,0
GSM,214,7,2836,6731,0,-3.696146,40.416907,1000,62,1,1343421040,1492266790,0
GSM,214,7,2836,3641,0,-3.700626,40.416442,1000,145,1,1343421040,1491905358,0
GSM,214,7,2836,244,0,-3.698014,40.416392,1000,77,1,1343421040,1489282191,0
GSM,214,7,2836,6733,0,-3.696937,40.415379,1000,74,1,1343421040,1491905358,0
GSM,214,7,2836,243,0,-3.699116,40.415798,1000,70,1,1343421045,1491905358,0
GSM,214,7,2836,1204,0,-3.701386,40.415644,1000,146,1,1343421045,1491905358,0
GSM,214,3,1014,3707,0,-3.664627,40.442734,1000,3,1,1343429625,1248319836,0
GSM,214,3,1014,1473,0,-3.665657,40.442047,1000,4,1,1343429625,1248319846,0
GSM,214,3,1014,486,0,-3.663254,40.44342,1000,2,1,1343429625,1248319826,0
GSM,214,3,1014,3654,0,-3.652268,40.44648,1408,11,1,1343429625,1248319836,0
GSM,214,3,1014,487,0,-3.664353,40.442734,1000,5,1,1343429625,1248319846,0
GSM,214,3,1014,2032,0,-3.657303,40.445938,1000,3,1,1343429625,1248319816,0
GSM,214,3,1014,497,0,-3.666916,40.44136,1000,3,1,1343429625,1248319846,0
GSM,214,3,1014,1474,0,-3.669205,40.440445,1000,3,1,1343429625,1248319856,0
GSM,214,3,1003,3654,0,-3.6687469482422,40.439987182617,1000,1,1,1343429625,1248319846,0
GSM,214,3,1003,1442,0,-3.672867,40.438889,1000,5,1,1343429625,1248319907,0
GSM,214,3,1003,133,0,-3.675613,40.438461,1000,18,1,1343429625,1248320056,0
GSM,214,3,1003,1441,0,-3.673325,40.439072,1000,3,1,1343429625,1248319936,0
GSM,214,3,1003,1474,0,-3.6728668212891,40.439987182617,1000,1,1,1343429625,1248319867,0
GSM,214,3,1003,40722,0,-3.674451,40.438825,1000,13,1,1343429625,1248319986,0
GSM,214,3,1014,40244,0,-3.672867,40.438843,1000,6,1,1343429625,1248319916,0
GSM,214,3,1003,40721,0,-3.673063,40.43881,1000,7,1,1343429625,1248319936,0
GSM,214,3,1003,1443,0,-3.673063,40.438614,1000,7,1,1343429625,1248319936,0
GSM,214,3,1014,1440,0,-3.6728668212891,40.438613891602,1000,1,1,1343429625,1248319896,0
GSM,214,3,1003,1444,0,-3.6728668212891,40.438613891602,1000,3,1,1343429625,1248319926,0
GSM,214,3,1003,1446,0,-3.677444,40.438156,1000,9,1,1343429630,1248320056,0
GSM,214,3,1003,134,0,-3.677559,40.438271,1000,12,1,1343429630,1248320056,0
GSM,214,3,1003,1458,0,-3.677236,40.438364,1000,11,1,1343429630,1248320046,0
GSM,214,3,1003,40723,0,-3.677139,40.438309,1000,9,1,1343429630,1248320036,0
GSM,214,3,1003,1445,0,-3.67836,40.437698,1000,6,1,1343429636,1248320056,0
GSM,214,3,1003,157,0,-3.6824798583984,40.437240600586,1000,2,1,1343429641,1248320086,0
GSM,214,3,1008,40789,0,-3.6824798583984,40.437240600586,1000,1,1,1343429641,1248320076,0
GSM,214,3,1003,1234,0,-3.687973,40.424489,1000,49,1,1343447043,1248321142,0
GSM,214,3,1003,218,0,-3.687973,40.424811,1000,39,1,1343447043,1248320996,0
GSM,214,3,1003,1235,0,-3.687973,40.424571,1000,31,1,1343447043,1248321026,0
GSM,214,3,1003,1236,0,-3.687973,40.424606,1000,35,1,1343447043,1248321056,0
GSM,214,3,1003,40618,0,-3.68813,40.423939,1000,35,1,1343447043,1252227764,0
GSM,214,3,1003,1233,0,-3.687973,40.424554,1000,21,1,1343447043,1248321026,0
